mode,episode,server_log,success,rounds,wait_rate,intent_accuracy
full,1,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep001.log,1,27,0.20987654320987653,1.0
full,2,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep002.log,1,26,0.14102564102564102,1.0
full,3,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep003.log,1,27,0.16049382716049382,0.9876543209876543
full,4,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep004.log,1,26,0.14102564102564102,1.0
full,5,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep005.log,1,27,0.19753086419753085,1.0
full,6,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep006.log,1,31,0.17204301075268819,0.967741935483871
full,7,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep007.log,1,27,0.19753086419753085,1.0
full,8,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep008.log,1,27,0.19753086419753085,1.0
full,9,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep009.log,1,32,0.10416666666666667,0.9895833333333334
full,10,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep010.log,1,27,0.19753086419753085,1.0
full,11,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep011.log,1,31,0.15053763440860216,0.989247311827957
full,12,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep012.log,1,27,0.19753086419753085,1.0
full,13,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep013.log,1,27,0.20987654320987653,1.0
full,14,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep014.log,1,27,0.19753086419753085,1.0
full,15,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep015.log,1,26,0.15384615384615385,0.9871794871794872
full,16,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep016.log,1,27,0.20987654320987653,1.0
full,17,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep017.log,1,26,0.14102564102564102,1.0
full,18,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep018.log,1,31,0.12903225806451613,0.967741935483871
full,19,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep019.log,1,27,0.19753086419753085,1.0
full,20,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_full_ep020.log,1,27,0.20987654320987653,1.0
no-blackboard,1,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep001.log,1,51,0.1503267973856209,1.0
no-blackboard,2,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep002.log,1,54,0.12962962962962962,1.0
no-blackboard,3,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep003.log,1,49,0.16326530612244897,1.0
no-blackboard,4,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep004.log,1,57,0.12280701754385964,1.0
no-blackboard,5,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep005.log,1,46,0.13043478260869565,0.9927536231884058
no-blackboard,6,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep006.log,1,57,0.11695906432748537,1.0
no-blackboard,7,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep007.log,1,58,0.14367816091954022,1.0
no-blackboard,8,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep008.log,1,43,0.11627906976744186,1.0
no-blackboard,9,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep009.log,1,41,0.12195121951219512,0.991869918699187
no-blackboard,10,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep010.log,1,45,0.17037037037037037,1.0
no-blackboard,11,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep011.log,1,44,0.12121212121212122,1.0
no-blackboard,12,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep012.log,1,52,0.1858974358974359,0.9871794871794872
no-blackboard,13,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep013.log,1,48,0.1597222222222222,1.0
no-blackboard,14,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep014.log,1,47,0.16312056737588654,1.0
no-blackboard,15,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep015.log,1,48,0.125,1.0
no-blackboard,16,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep016.log,1,45,0.14074074074074075,0.9925925925925926
no-blackboard,17,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep017.log,1,50,0.11333333333333333,1.0
no-blackboard,18,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep018.log,1,53,0.16352201257861634,0.9937106918238994
no-blackboard,19,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep019.log,1,45,0.18518518518518517,1.0
no-blackboard,20,D:\RimSpace\Source\LLMServer\ablation_results\bb_ablation_meal3_coat3_20260321_181221\server_no-blackboard_ep020.log,1,50,0.15333333333333332,0.9933333333333333
